127.0.0.1 - - [29/Nov/2018:13:13:41 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:13:45 +0900] "GET /MyProject/index.jsp HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:13:45 +0900] "GET /MyProject/css/style01.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:13:45 +0900] "GET /MyProject/javascript/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:44:34 +0900] "GET /MyProject/index.jsp HTTP/1.1" 200 4404
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:45:24 +0900] "GET /MyProject/jquery.jsp HTTP/1.1" 200 7071
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:45:24 +0900] "GET /MyProject/javascript/jquery.elevatezoom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:45:24 +0900] "GET /MyProject/img/pic1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:45:24 +0900] "GET /MyProject/img/pic4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:45:24 +0900] "GET /MyProject/img/pic6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:45:24 +0900] "GET /MyProject/img/pic8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:45:24 +0900] "GET /MyProject/img/jQuery_image4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:45:24 +0900] "GET /MyProject/img/jQuery_image5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Nov/2018:13:45:24 +0900] "GET /MyProject/img/pic5.jpg HTTP/1.1" 304 -
