127.0.0.1 - - [26/Nov/2018:16:59:42 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [26/Nov/2018:16:59:44 +0900] "GET /sample-web/WEB-INF/classes/com/internousdev/sampleweb/dto/PurchaseHistoryInfoDTO.java HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:31 +0900] "GET /sample-web/ HTTP/1.1" 200 701
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:31 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:31 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:33 +0900] "GET /sample-web/HomeAction HTTP/1.1" 200 2588
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:33 +0900] "GET /sample-web/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:33 +0900] "GET /sample-web/js/smoothscroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:33 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:41 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4588
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:41 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:44 +0900] "POST /sample-web/CartAction HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:44 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:45 +0900] "POST /sample-web/ProductListAction HTTP/1.1" 200 5926
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:45 +0900] "GET /sample-web/images/sample.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:45 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:48 +0900] "POST /sample-web/SearchItemAction HTTP/1.1" 200 5833
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:48 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:52 +0900] "GET /sample-web/SearchItemAction.action?pageNo=7&categoryId=1&keywords= HTTP/1.1" 200 6247
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:52 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:57 +0900] "GET /sample-web/SearchItemAction.action?pageNo=8&categoryId=1&keywords= HTTP/1.1" 200 6247
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:00:57 +0900] "GET /sample-web/images/select.png HTTP/1.1" 404 245
0:0:0:0:0:0:0:1 - - [26/Nov/2018:17:01:13 +0900] "POST /sample-web/GoLoginAction HTTP/1.1" 200 4588
